rasch_score,sum_score,HH1,HH23r1.x,HH23r2,HH23r3.x,HHCr1,HHCr2,HHCr3,HHAr1,HHAr2,HHAr3,HH4,HH5,HH6r1,HH6r2,HH6r3,HH6r4,HH6r5,HH6r6,HHR,Q2,hRegionUS,HH7,HHO,HH8,HH9,HH10,HH10_1,HH11,HH12r1,noanswerHH12_r8,HH12a,HH13r1,noanswerHH13_r8,HH13a,HHI.x,Gender,Age,Number in household,Children,Education,Household Income,Employment Status,Home Ownership,Region,Race,Hispanic Origin
-0.289497185,4,2,0,0,2,0,1,0,1,0,0,70,2,1,0,0,0,0,0,3,36,2,1,2,2,3,2017,1,4,600,0,NA,170000,0,NA,3,Male,70,2,None,Bachelor's Degree,"150,000 to 199,999","Contract, Freelance or Temporary Employee",Own,Region 2: Midwest,Caucasian / White,No
-1.015691666,0,1,0,1,0,0,1,0,0,1,0,59,2,1,0,0,0,0,0,3,38,4,2,1,1,0,2018,5,3,400,0,NA,26000,0,NA,2,Female,59,1,None,Bachelor's Degree,"25,000 to 49,999",Self-employed,Rent,Region 4: West,Caucasian / White,No
0.041887645,7,2,0,0,2,0,1,0,1,0,0,67,2,1,0,0,0,0,0,3,44,3,1,2,2,3,1998,NA,2,NA,1,2,NA,1,4,3,Female,67,2,None,Master's Degree,"100,000 to 149,999",Retired,Own,Region 3: South,Caucasian / White,No
-0.121493301,7,2,0,0,2,0,1,0,1,0,0,78,2,1,0,0,0,0,0,3,5,4,1,2,2,4,1975,NA,2,NA,1,4,149000,0,NA,3,Female,78,2,None,Bachelor's Degree,"100,000 to 149,999",Retired,Own,Region 4: West,Caucasian / White,No
-1.015691666,2,2,0,0,2,0,1,0,1,0,0,79,2,1,0,0,0,0,0,3,48,4,1,2,2,3,1987,NA,3,500,0,NA,NA,1,1,1,Male,79,2,None,Associate's Degree,"15,000 to 24,999",Retired,Own,Region 4: West,Caucasian / White,No
-0.462501041,2,2,0,0,2,0,1,0,1,0,0,66,2,1,0,0,0,0,0,3,5,4,1,2,2,4,1978,NA,2,4400,0,NA,125000,0,NA,3,Female,66,2,None,Bachelor's Degree,"100,000 to 149,999",Part-time,Own,Region 4: West,Caucasian / White,No
2.27365187,24,2,0,0,2,0,1,0,1,0,0,76,2,1,0,0,0,0,0,3,39,1,1,2,2,2,2005,NA,4,700,0,NA,68000,0,NA,3,Male,76,2,None,"Some College, University, Technical School or Further Education","50,000 to 74,999",Retired,Own,Region 1: Northeast,Caucasian / White,No
-0.289497185,4,1,0,0,1,0,1,0,1,0,0,76,2,1,0,0,0,0,0,3,39,1,1,2,2,3,1998,NA,2,NA,1,3,33000,0,NA,2,Female,76,1,None,Secondary (high school) Education,"25,000 to 49,999",Retired,Own,Region 1: Northeast,Caucasian / White,No
-0.825116057,1,1,0,0,1,0,1,0,1,0,0,71,1,1,0,0,0,0,0,1,26,2,2,1,8,2,2012,NA,2,875,0,NA,2500,0,NA,1,Female,71,1,None,Master's Degree,"25,000 to 49,999",Retired,Rent,Region 2: Midwest,Caucasian / White,Yes
-1.015691662,1,3,2,1,0,1,0,1,0,1,0,33,2,1,0,0,0,0,0,3,13,4,2,1,5,3,2008,NA,3,940,0,NA,36600,0,NA,2,Female,33,3,2,Secondary (high school) Education,"25,000 to 49,999",Full-time (30 or more hours per week),Rent,Region 4: West,Caucasian / White,No
-0.825116057,2,1,0,0,1,0,1,0,1,0,0,73,1,1,0,0,0,0,0,1,44,3,1,2,2,2,1991,NA,1,NA,1,1,20000,0,NA,1,Male,73,1,None,Bachelor's Degree,"15,000 to 24,999",Part-time,Own,Region 3: South,Caucasian / White,No
-0.462501041,4,1,0,0,1,0,1,0,1,0,0,66,2,1,0,0,0,0,0,3,6,4,1,2,1,3,2004,NA,3,750,0,NA,12000,0,NA,1,Male,66,1,None,Secondary (high school) Education,"Less than 15,000",Retired,Own,Region 4: West,Caucasian / White,No
-1.015691666,0,1,0,0,1,0,1,0,1,0,0,76,2,1,0,0,0,0,0,3,31,1,2,1,7,1,2013,NA,4,300,0,NA,20000,0,NA,1,Female,77,1,None,Bachelor's Degree,"15,000 to 24,999",Retired,Rent,Region 1: Northeast,Caucasian / White,No
-0.64090161,2,1,0,0,1,0,1,0,1,0,0,70,1,1,0,0,0,0,0,1,10,3,1,2,2,3,2000,NA,4,3500,0,NA,59999,0,NA,3,Female,70,1,None,Vocational or Technical Degree,"50,000 to 74,999",Retired,Own,Region 3: South,Caucasian / White,Yes
-0.64090161,1,4,0,3,0,0,1,0,0,1,1,57,2,1,0,0,0,0,0,3,14,2,1,2,2,3,1995,NA,2,2400,0,NA,50000,0,NA,2,Female,57,4,2,Bachelor's Degree,"25,000 to 49,999",Full-time (30 or more hours per week),Own,Region 2: Midwest,Caucasian / White,No
-1.417578401,0,1,0,0,0,0,1,0,0,0,1,36,2,1,0,0,0,0,0,3,44,3,2,1,2,2,2013,NA,5,950,0,NA,15200,0,NA,1,Male,36,1,None,Secondary (high school) Education,"Less than 15,000",Self-employed,Rent,Region 3: South,Caucasian / White,No
-0.462501041,4,1,0,1,0,0,1,0,0,1,0,54,2,1,0,0,0,0,0,3,10,3,1,2,3,2,2018,1,3,500,0,NA,40000,0,NA,2,Female,65,1,None,Master's Degree,"25,000 to 49,999",Self-employed,Own,Region 3: South,Caucasian / White,No
-0.64090161,1,2,0,0,2,0,1,0,1,0,0,67,2,1,0,0,0,0,0,3,33,1,2,1,5,2,2015,1,5,1700,0,NA,46000,0,NA,2,Male,67,2,None,Bachelor's Degree,"25,000 to 49,999",Retired,Rent,Region 1: Northeast,Caucasian / White,No
-1.212989604,2,2,0,0,2,0,1,0,1,0,0,75,2,1,0,0,0,0,0,3,5,4,1,2,2,3,2004,NA,2,NA,1,1,50000,0,NA,2,Female,75,2,3,Bachelor's Degree,"50,000 to 74,999",Retired,Own,Region 4: West,Caucasian / White,No
-0.289497185,5,1,0,1,0,0,1,0,0,1,0,64,2,1,0,0,0,0,0,3,33,1,2,1,7,1,2017,2,3,192,0,NA,10000,0,NA,1,Male,64,1,None,Secondary (high school) Education,"Less than 15,000",Disabled,Rent,Region 1: Northeast,Caucasian / White,No
-1.015691666,3,2,0,0,2,0,1,0,1,0,0,81,2,1,0,0,0,0,0,3,38,4,1,2,2,4,2008,NA,3,1200,0,NA,55000,0,NA,3,Male,81,2,None,"Doctoral or Professional Degree (PhD, Ed.D, JD, DVM, DO, MD, DDS, or similar)","50,000 to 74,999",Retired,Own,Region 4: West,Caucasian / White,No
-0.64090161,1,2,0,0,2,0,1,0,1,0,0,38,2,1,0,0,0,0,0,3,22,1,1,2,3,2,2009,NA,3,NA,1,7,NA,1,4,3,Male,37,2,None,Bachelor's Degree,"100,000 to 149,999",Full-time (30 or more hours per week),Own,Region 1: Northeast,Caucasian / White,No
-1.01558289,3,2,0,0,2,0,1,0,1,0,0,73,2,1,0,0,0,0,0,3,31,1,2,1,7,1,2005,NA,2,1000,0,NA,50000,0,NA,2,Female,74,2,None,Vocational or Technical Degree,"50,000 to 74,999",Retired,Rent,Region 1: Northeast,Caucasian / White,No
-1.015691666,1,2,0,0,0,0,1,0,0,0,1,54,2,0,0,0,1,0,0,3,22,1,1,2,2,5,2002,NA,4,2000,0,NA,25000,0,NA,2,Male,55,3,1,Master's Degree,"250,000 to 499,999",Full-time (30 or more hours per week),Own,Region 1: Northeast,Asian / Asian American,No
-0.825116057,0,3,1,0,2,1,0,1,1,0,0,48,2,1,0,0,0,0,0,3,1,3,1,2,3,3,2006,NA,4,1300,0,NA,110000,0,NA,3,Male,49,3,1,Bachelor's Degree,"100,000 to 149,999",Full-time (30 or more hours per week),Own,Region 3: South,Caucasian / White,No
-0.462501041,4,4,2,0,0,1,0,1,0,0,1,40,2,1,0,0,0,0,0,3,34,3,1,2,2,5,2016,1,4,2509,0,NA,10999,0,NA,1,Female,40,4,2,Master's Degree,"100,000 to 149,999",Full-time (30 or more hours per week),Own,Region 3: South,Asian / Asian American,No
-0.825116057,2,2,0,0,2,0,1,0,1,0,0,66,2,1,0,0,0,0,0,3,29,4,1,2,2,2,2008,NA,4,260,0,NA,8400,0,NA,1,Male,66,2,None,"Some College, University, Technical School or Further Education","100,000 to 149,999",Retired,Own,Region 4: West,Caucasian / White,No
-0.462501041,3,2,0,0,0,0,1,0,0,0,1,59,2,1,0,0,0,0,0,3,24,2,1,2,2,3,1981,NA,2,450,0,NA,65000,0,NA,3,Male,59,2,None,Bachelor's Degree,"50,000 to 74,999",Full-time (30 or more hours per week),Live with family member(s) in their residence,Region 2: Midwest,Caucasian / White,No
-0.825116057,3,2,0,0,2,0,1,0,1,0,0,66,2,1,0,0,0,0,0,3,36,2,1,2,2,3,1976,NA,2,NA,1,1,34000,0,NA,2,Female,66,2,None,Secondary (high school) Education,"25,000 to 49,999",Retired,Own,Region 2: Midwest,Caucasian / White,No
0.04188765,5,2,0,0,2,0,1,0,1,0,0,77,2,1,0,0,0,0,0,3,6,4,1,2,2,4,2016,1,4,300,0,NA,220000,0,NA,3,Male,77,2,None,Master's Degree,"200,000 to 249,999",Retired,Own,Region 4: West,Caucasian / White,No
-1.015691666,1,5,0,3,2,0,1,0,1,1,0,65,2,1,0,0,0,0,0,3,22,1,1,2,2,6,1993,NA,1,800,0,NA,NA,1,1,1,Female,65,5 or more,3,Bachelor's Degree,"Less than 15,000",Retired,Own,Region 1: Northeast,Caucasian / White,No
-1.015691666,1,1,0,0,1,0,1,0,1,0,0,82,2,1,0,0,0,0,0,3,39,1,1,2,2,4,2010,NA,3,1200,0,NA,45,0,NA,1,Female,83,1,None,Secondary (high school) Education,"15,000 to 24,999",Homemaker,Own,Region 1: Northeast,Caucasian / White,No
-0.825116057,3,1,0,0,1,0,1,0,1,0,0,68,2,1,0,0,0,0,0,3,1,3,1,2,2,3,2005,NA,3,730,0,NA,59000,0,NA,3,Female,69,1,None,"Some College, University, Technical School or Further Education","50,000 to 74,999",Part-time,Own,Region 3: South,Caucasian / White,No
-0.64090161,2,2,0,0,2,0,1,0,1,0,0,76,2,1,0,0,0,0,0,3,39,1,1,2,2,3,1975,NA,1,600,0,NA,30000,0,NA,2,Male,77,2,None,"Some College, University, Technical School or Further Education","25,000 to 49,999",Semi-retired,Own,Region 1: Northeast,Caucasian / White,No
-0.64090161,1,4,0,1,1,0,1,0,1,1,1,59,2,1,0,0,0,0,0,3,39,1,1,2,1,4,2001,NA,4,850,0,NA,120,0,NA,1,Female,59,4,2,Secondary (high school) Education,"100,000 to 149,999",Homemaker,Own,Region 1: Northeast,Caucasian / White,No
-0.462501041,2,2,0,0,2,0,1,0,1,0,0,66,2,1,0,0,0,0,0,3,48,4,1,2,1,3,2004,NA,5,NA,1,7,NA,1,2,2,Female,66,2,None,Bachelor's Degree,"25,000 to 49,999",Retired,Own,Region 4: West,Caucasian / White,No
-0.825116057,1,2,0,0,2,0,1,0,1,0,0,77,2,1,0,0,0,0,0,3,39,1,1,2,2,2,2012,NA,4,650,0,NA,130000,0,NA,3,Male,77,2,2,Master's Degree,"100,000 to 149,999",Retired,Own,Region 1: Northeast,Caucasian / White,No
-0.289497185,5,2,0,0,1,0,1,0,1,0,1,62,2,1,0,0,0,0,0,3,24,2,1,2,3,2,2018,2,3,800,0,NA,NA,1,3,3,Female,62,2,None,Bachelor's Degree,"50,000 to 74,999",Full-time (30 or more hours per week),Own,Region 2: Midwest,Caucasian / White,No
-0.121493301,9,2,0,0,2,0,1,0,1,0,0,72,2,1,0,0,0,0,0,3,22,1,1,2,2,3,1973,NA,2,600,0,NA,190000,0,NA,3,Female,72,2,None,Master's Degree,"150,000 to 199,999",Part-time,Own,Region 1: Northeast,Caucasian / White,No
-0.825116057,2,2,0,0,0,0,1,0,0,0,1,64,2,1,0,0,0,0,0,3,15,2,1,2,2,4,1999,NA,3,200,0,NA,60000,0,NA,3,Female,64,2,None,Master's Degree,"50,000 to 74,999",Semi-retired,Own,Region 2: Midwest,Caucasian / White,No
-0.64090161,1,2,0,0,2,0,1,0,1,0,0,65,2,0,0,0,1,0,0,3,21,3,1,2,2,4,2000,NA,4,NA,1,6,250000,0,NA,3,Male,67,2,None,"Doctoral or Professional Degree (PhD, Ed.D, JD, DVM, DO, MD, DDS, or similar)","200,000 to 249,999",Full-time (30 or more hours per week),Own,Region 3: South,Asian / Asian American,No
0.943932657,11,2,0,2,0,0,1,0,0,1,0,46,2,1,0,0,0,0,0,3,6,4,1,2,3,2,2013,NA,4,1200,0,NA,105000,0,NA,3,Female,56,2,1,Bachelor's Degree,"100,000 to 149,999",Full-time (30 or more hours per week),Own,Region 4: West,Caucasian / White,No
0.041887645,7,2,0,0,2,0,1,0,1,0,0,67,2,1,0,0,0,0,0,3,39,1,1,2,2,3,1986,NA,3,8000,0,NA,150000,0,NA,3,Female,67,2,None,Bachelor's Degree,"75,000 to 99,999",Retired,Own,Region 1: Northeast,Caucasian / White,No
-0.462501041,2,3,0,0,3,0,1,0,1,0,0,70,2,1,0,0,0,0,0,3,31,1,1,2,2,3,2004,NA,2,2200,0,NA,NA,1,3,3,Female,70,3,1,Secondary (high school) Education,"50,000 to 74,999",Retired,Own,Region 1: Northeast,Caucasian / White,No
0.041887645,10,2,0,0,2,0,1,0,1,0,0,74,2,1,0,0,0,0,0,3,36,2,1,2,2,5,1978,NA,2,400,0,NA,190000,0,NA,3,Male,74,2,None,Master's Degree,"150,000 to 199,999",Retired,Own,Region 2: Midwest,Caucasian / White,No
-0.462501041,5,1,0,0,1,0,1,0,1,0,0,65,2,1,0,0,0,0,0,3,50,2,1,2,2,3,1978,NA,2,400,0,NA,79000,0,NA,3,Male,66,1,None,"Some College, University, Technical School or Further Education","75,000 to 99,999",Full-time (30 or more hours per week),Own,Region 2: Midwest,Caucasian / White,No
-0.64090161,3,2,1,0,0,1,0,1,0,0,1,38,2,0,1,0,0,0,0,2,31,1,1,2,3,2,2015,1,4,NA,1,5,74000,0,NA,3,Female,59,2,1,Associate's Degree,"50,000 to 74,999",Full-time (30 or more hours per week),Own,Region 1: Northeast,African American / Black,No
-0.462501041,3,1,0,0,0,0,1,0,0,0,1,55,2,0,1,0,0,0,0,2,1,3,1,2,2,3,2006,NA,4,1500,0,NA,116000,0,NA,3,Female,55,1,None,Master's Degree,"100,000 to 149,999",Full-time (30 or more hours per week),Own,Region 3: South,African American / Black,No
1.357876406,21,2,0,2,0,0,1,0,0,1,0,40,2,1,0,0,0,0,0,3,9,3,1,2,2,3,2016,2,4,1500,0,NA,114000,0,NA,3,Male,51,3,2,Bachelor's Degree,"75,000 to 99,999",Full-time (30 or more hours per week),Own,Region 3: South,African American / Black,No
0.201003786,8,2,0,0,0,0,1,0,0,0,1,64,2,0,1,0,0,0,0,2,44,3,1,2,2,3,1990,NA,3,2486,0,NA,126525,0,NA,3,Male,65,2,None,Bachelor's Degree,"100,000 to 149,999",Retired,Own,Region 3: South,African American / Black,No
-0.121493301,6,1,0,0,1,0,1,0,1,0,0,66,2,0,1,0,0,0,0,2,15,2,2,1,5,2,2002,NA,5,840,0,NA,NA,1,2,2,Female,66,1,None,Secondary (high school) Education,"15,000 to 24,999",Full-time (30 or more hours per week),Rent,Region 2: Midwest,African American / Black,No
-0.64090161,2,4,2,2,0,1,0,1,0,1,0,33,1,1,0,0,0,0,0,1,6,4,1,2,2,4,2006,NA,4,5500,0,NA,112000,0,NA,3,Male,33,4,2,Bachelor's Degree,"100,000 to 149,999",Full-time (30 or more hours per week),Own,Region 4: West,Caucasian / White,Yes
-0.289497185,6,3,0,0,0,0,1,0,0,0,1,40,1,0,0,0,0,0,1,1,44,3,3,1,4,2,2017,1,2,0,0,NA,NA,1,1,1,Female,40,3,None,Associate's Degree,"15,000 to 24,999",Unemployed,Live with family member(s) in their residence,Region 3: South,Other,Yes
0.507784187,10,3,0,2,1,0,1,0,1,1,0,73,2,0,1,0,0,0,0,2,44,3,2,1,5,2,2014,1,5,NA,1,3,1050,0,NA,1,Female,73,3,1,"Some College, University, Technical School or Further Education","25,000 to 49,999",Retired,Rent,Region 3: South,African American / Black,No
-1.212989604,1,2,0,0,2,0,1,0,1,0,0,56,2,0,1,0,0,0,0,2,39,1,1,2,2,4,2000,NA,2,NA,1,3,135000,0,NA,3,Male,60,2,None,Bachelor's Degree,"100,000 to 149,999",Full-time (30 or more hours per week),Own,Region 1: Northeast,African American / Black,No
-0.462501041,4,1,0,1,0,0,1,0,0,1,0,60,2,0,1,0,0,0,0,2,5,4,2,1,5,1,1989,NA,5,995,0,NA,30000,0,NA,2,Male,60,1,None,"Some College, University, Technical School or Further Education","25,000 to 49,999",Full-time (30 or more hours per week),Rent,Region 4: West,African American / Black,No
1.221937109,16,1,0,0,1,0,1,0,1,0,0,66,2,0,1,0,0,0,0,2,26,2,1,2,2,2,1988,NA,1,500,0,NA,69000,0,NA,3,Male,66,1,None,Associate's Degree,"50,000 to 74,999",Retired,Own,Region 2: Midwest,African American / Black,No
0.04188765,8,2,0,2,0,0,1,0,0,1,0,56,2,0,1,0,0,0,0,2,47,3,1,2,2,3,1996,NA,3,500,0,NA,195000,0,NA,3,Female,56,2,None,"Some College, University, Technical School or Further Education","150,000 to 199,999",Full-time (30 or more hours per week),Own,Region 3: South,African American / Black,No
-1.015691666,2,1,0,0,1,0,1,0,1,0,0,71,1,1,0,0,0,0,0,1,33,1,2,1,6,1,1998,NA,2,1300,0,NA,470000,0,NA,3,Female,71,1,None,"Some College, University, Technical School or Further Education","25,000 to 49,999",Retired,Rent,Region 1: Northeast,Caucasian / White,Yes
-0.64090161,5,2,0,0,2,0,1,0,1,0,0,71,2,0,1,0,0,0,0,2,6,4,1,2,2,4,2004,NA,2,NA,1,7,NA,1,1,1,Female,71,2,None,Secondary (high school) Education,"25,000 to 49,999",Retired,Live with family member(s) in their residence,Region 4: West,African American / Black,No
0.201003786,8,2,0,0,2,0,1,0,1,0,0,44,1,1,0,1,0,0,0,1,14,2,1,2,5,2,1980,NA,3,NA,1,7,NA,1,1,1,Male,45,2,None,"Some College, University, Technical School or Further Education","Less than 15,000",Unemployed,Own,Region 2: Midwest,Caucasian / White,Yes
-0.64090161,4,3,1,2,0,1,0,1,0,1,0,33,2,0,1,0,0,0,0,2,19,3,1,2,2,0,2017,1,4,1500,0,NA,100000,0,NA,3,Female,38,1,None,Bachelor's Degree,"15,000 to 24,999",Full-time (30 or more hours per week),Rent,Region 3: South,African American / Black,No
-0.289497185,7,2,0,0,0,0,1,0,0,0,1,56,2,0,1,0,0,0,0,2,34,3,1,2,2,2,2016,2,2,900,0,NA,29000,0,NA,2,Female,57,2,None,Vocational or Technical Degree,"15,000 to 24,999",Retired,Own,Region 3: South,African American / Black,No
1.221937109,17,1,0,0,0,0,1,0,0,0,1,61,2,0,1,0,0,0,0,2,19,3,2,1,5,1,2011,NA,4,609,0,NA,31000,0,NA,2,Male,61,1,None,Vocational or Technical Degree,"25,000 to 49,999",Full-time (30 or more hours per week),Rent,Region 3: South,African American / Black,No
0.041887645,6,2,0,2,0,0,1,0,0,1,0,32,1,1,0,0,0,0,0,1,5,4,1,2,8,2,2016,2,4,800,0,NA,NA,1,2,2,Female,32,2,None,"Some College, University, Technical School or Further Education","25,000 to 49,999",Full-time (30 or more hours per week),Rent,Region 4: West,Caucasian / White,Yes
0.356195034,10,5,3,2,0,1,0,1,0,1,0,35,2,0,1,0,0,0,0,2,31,1,2,1,2,3,2006,NA,3,1400,0,NA,1500,0,NA,1,Male,35,5 or more,3,Bachelor's Degree,"25,000 to 49,999",Full-time (30 or more hours per week),Rent,Region 1: Northeast,African American / Black,No
-0.121493301,9,1,0,1,0,0,1,0,0,1,0,35,1,1,0,0,0,0,0,1,33,1,2,1,7,0,1983,NA,2,NA,1,1,NA,1,1,1,Male,35,4,None,"Some College, University, Technical School or Further Education","Less than 15,000",Unemployed,Rent,Region 1: Northeast,Other,Yes
0.041887645,8,3,0,1,0,0,1,0,0,1,1,55,2,0,1,0,0,0,0,2,31,1,2,1,4,3,1981,NA,5,NA,1,2,24000,0,NA,2,Female,55,3,2,"Some College, University, Technical School or Further Education","15,000 to 24,999",Disabled,Rent,Region 1: Northeast,African American / Black,No
1.886654008,23,2,0,0,0,0,1,0,0,0,1,52,2,0,1,0,0,0,0,2,5,4,2,1,2,3,2017,1,2,NA,1,6,45000,0,NA,2,Female,56,2,None,"Some College, University, Technical School or Further Education","25,000 to 49,999",Unemployed,Rent,Region 4: West,African American / Black,No
0.801368055,11,1,0,0,1,0,1,0,1,0,0,54,2,0,1,0,0,0,0,2,14,2,2,1,2,3,2010,NA,2,765,0,NA,765,0,NA,1,Female,55,1,None,Bachelor's Degree,"Less than 15,000",Homemaker,Rent,Region 2: Midwest,African American / Black,No
1.084037465,17,3,1,0,0,1,0,1,0,0,1,41,2,0,1,0,0,0,0,2,14,2,1,2,2,2,2013,NA,2,1000,0,NA,75000,0,NA,3,Female,41,2,1,Secondary (high school) Education,"25,000 to 49,999",Full-time (30 or more hours per week),Rent,Region 2: Midwest,African American / Black,No
-0.64090161,1,4,1,3,0,1,0,1,0,1,0,30,1,0,0,0,1,0,0,1,24,2,1,2,2,3,2014,2,3,15000,0,NA,15000,0,NA,1,Female,29,4,1,Bachelor's Degree,"50,000 to 74,999",Full-time (30 or more hours per week),Own,Region 2: Midwest,Asian / Asian American,Yes
-0.289497185,5,1,0,0,1,0,1,0,1,0,0,64,1,1,0,0,0,0,0,1,44,3,1,2,2,3,1970,NA,2,NA,1,2,100000,0,NA,3,Male,76,1,None,Vocational or Technical Degree,"100,000 to 149,999",Retired,Own,Region 3: South,Caucasian / White,Yes
0.041887645,6,1,0,0,1,0,1,0,1,0,0,72,2,0,1,0,0,0,0,2,6,4,1,2,2,3,1986,NA,2,NA,1,1,NA,1,2,2,Female,77,1,None,Secondary (high school) Education,"25,000 to 49,999",Retired,Own,Region 4: West,African American / Black,No
-0.64090161,4,2,0,0,0,0,1,0,0,0,1,51,1,1,0,0,0,0,0,1,10,3,2,1,2,2,2003,NA,3,750,0,NA,55000,0,NA,3,Female,51,2,None,"Some College, University, Technical School or Further Education","25,000 to 49,999",Unemployed,Rent,Region 3: South,Caucasian / White,Yes
-0.289497185,6,1,0,0,1,0,1,0,1,0,0,78,2,0,1,0,0,0,0,2,44,3,1,2,3,2,1952,NA,2,675,0,NA,20,0,NA,1,Female,78,1,None,Associate's Degree,"15,000 to 24,999",Retired,Own,Region 3: South,African American / Black,No
0.041887645,7,1,0,0,1,0,1,0,1,0,0,67,1,1,0,0,0,0,0,1,32,4,1,2,1,2,2000,NA,3,NA,1,2,40000,0,NA,2,Female,67,1,None,Incomplete Secondary (high school) Education,"25,000 to 49,999",Full-time (30 or more hours per week),Own,Region 4: West,Caucasian / White,Yes
-0.64090161,4,2,0,0,0,0,1,0,0,0,1,58,2,0,1,0,0,0,0,2,34,3,1,2,2,2,2011,NA,3,50,0,NA,74999,0,NA,3,Female,58,2,None,"Some College, University, Technical School or Further Education","50,000 to 74,999",Full-time (30 or more hours per week),Own,Region 3: South,African American / Black,No
-0.462501041,5,1,0,1,0,0,1,0,0,1,0,45,2,0,1,0,0,0,0,2,33,1,1,2,2,4,1997,NA,2,650,0,NA,50000,0,NA,2,Female,45,2,None,Associate's Degree,"25,000 to 49,999",Full-time (30 or more hours per week),Live with family member(s) in their residence,Region 1: Northeast,African American / Black,No
-0.289497185,4,5,3,2,0,1,0,1,0,1,0,31,2,0,1,0,0,0,0,2,31,1,2,1,4,8,2006,NA,3,1200,0,NA,1400,0,NA,1,Female,31,5 or more,3,Bachelor's Degree,"25,000 to 49,999",Full-time (30 or more hours per week),Rent,Region 1: Northeast,African American / Black,No
-0.64090161,2,1,0,1,0,0,1,0,0,1,0,44,1,0,1,0,0,0,0,1,5,4,2,1,4,1,2016,2,4,2000,0,NA,35000,0,NA,2,Female,51,1,None,Bachelor's Degree,"Less than 15,000",Full-time (30 or more hours per week),Rent,Region 3: South,Caucasian / White,Yes
-0.462501041,5,5,3,2,0,1,0,1,0,1,0,31,1,1,0,0,0,0,0,1,5,4,2,1,6,2,2014,1,5,1475,0,NA,30000,0,NA,2,Female,31,5 or more,4,"Some College, University, Technical School or Further Education","15,000 to 24,999",Full-time (30 or more hours per week),Rent,Region 4: West,Caucasian / White,Yes
