"","rnid","record","uuid","status","dTrack","qtime","consent","HH1","HH23r1.x","HH23r2","HH23r3.x","HHCr1","HHCr2","HHCr3","HHAr1","HHAr2","HHAr3","HH4","HH5","HH6r1","HH6r2","HH6r3","HH6r4","HH6r5","HH6r6","HH6r6oe","HHR","Q2","hRegionUS","HH7","HH7r3oe","HHO","HH8","HH8r8oe","HH9","HH10","HH10_1","HH11","HH12r1","noanswerHH12_r8","HH12a","HH13r1","noanswerHH13_r8","HH13a","HHI.x","ESC1r1","ESC1r2","ESC1r3","ESC1r4","ESC1r5","ESC1ar1","ESC1ar2.x","ESC1ar3.x","ESC1ar4.x","ESC1ar5","ESC1ar6","ESC1br2c1","ESC1br3c1","ESC1br4c1","ESC1b_1r1c2","ESC1b_1r2c2","ESC1b_1r3c2","ESC1b_1r4c2","ESC1b1r1","ESC1b1r2","ESC1b1r3","ESC1b1r4","ESC1cr2c1","ESC1cr3c1","ESC1cr4c1","ESC1c_1r1c2","ESC1c_1r2c2","ESC1c_1r3c2","ESC1c_1r4c2","ESC1c1r1","ESC1c1r2","ESC1c1r3","ESC1c1r4","ESC2.x","ESC2a","ESC2b","ESC2c","EB2a.x","EB2a1","EB3a","EB3a1","EB2b","EB2b1","EB3b","EB3b1","EB2c","EB2c1","EB3c","EB3c1","EB2d","EB2d1","EB3d","EB3d1","EB2e","EB2e1","EB3e","EB3e1","EB4.x","Q4ar1","Q4ar2","Q4ar3","Q4ar4","Q4ar5","Q4ar6","Q4ar6oe","EB5r1.x","EB5r2","EB5r3","EB5r4","EB6r1.x","EB6r2","EB6r3","EB6r4","EB7a.x","Q7a1","Q7a2","Q7a3","EB7b","Q7b1","Q7b2","Q7b3","EB7c","Q7c1","Q7c2","Q7c3","EB7d","Q7d1","Q7d2","Q7d3","EB8a.x","Q8a1","Q8a2","Q8b1","EB8b","Q8b2","EB8c","Q8c1","Q8c2","EB8d","Q8d1","Q8d2","HEC1r1a.x","HEC1r1b.x","HEC1r1c.x","HEC1r1d.x","HEC2r1.x","HEC2r2.x","HEC2r3.x","HEC2r4.x","HEC2r5.x","HEC2r6.x","HEC2r7.x","HEC2r8.x","HEC2r9.x","HEC2r10.x","HEC2r9oe","HEC3r3a.x","HEC3r3b.x","HEC3r3c.x","HEC3r3d.x","HEC3r3e.x","HEC3r3f.x","HEC3r3g.x","HEC3r3h.x","HEC4a.x","HEC4ai","HEC4aii","HEC4b.x","HEC4bi","HEC4bii","HEC5.x","HEC5a.x","HEC5a1","HEC5a2r1","HEC5a2r2","HEC5a2r3","HEC5a2r4","HEC5a2r5","HEC5a2r6","HEC5a2r7","HEC6.x","HEC6a.x","HEC6b1","HEC6b2r1","HEC6b2r2","HEC6b2r3","HEC6b2r4","HEC6b2r5","HEC6b2r6","EL1","hEL1r1","EL2","hEL2r1","EL3","CEP1.x","Q14a1","CEP2.x","Q14b1","CEP3.x","Q14c1","CEP4.x","Q14d1","CEP5.x","Q14e1","CEP6.x","CEP7.x","CEP8r1.x","CEP8r2.x","CEP8r3.x","CEP8r4.x","EH1a_er1a","EH1a_er2b","EH1a_er3c","EH1a_er4d","EH1a_er5e","EH2","EH2_1r1","EH2_1r2","EH2_1r3","EH2_1r3oe","H1r1","H1r2","H1r3","H1r4","H1r5","H1r6","H1r7","H1r7oe","H2r1","H2r2","H2r3","H2r4","H2r5","H2r6","H2r7","H2r8","H2r9","H2r10","H2r11","H2r12","H2r13","H2r14","H2r15","H2r16","noanswerH2_r17","PSSPSS1","PSSPSS2","PSSPSS3","PSSPSS4","PSSPSS5","PSSPSS6","PSSPSS7","PSSPSS8","PSSPSS9","PSSPSS10","SF1","SF2","SF3","PSQI1","PSQI2a","PSQI2b","FI1","FI2","FI3","FI4","child","eld","wbill.x","sbill.x","HHI.y","HH23r1.y","HH23r3.y","ESC1ar2.y","ESC1ar3.y","ESC1ar4.y","wbill.y","sbill.y","ESC2.y","EB2a.y","EB4.y","EB5r1.y","EB6r1.y","EB7a.y","EB8a.y","HEC1r1a.y","HEC1r1b.y","HEC1r1c.y","HEC1r1d.y","HEC2r1.y","HEC2r2.y","HEC2r3.y","HEC2r4.y","HEC2r5.y","HEC2r6.y","HEC2r7.y","HEC2r8.y","HEC2r9.y","HEC2r10.y","HEC3r3a.y","HEC3r3b.y","HEC3r3c.y","HEC3r3d.y","HEC3r3e.y","HEC3r3f.y","HEC3r3g.y","HEC3r3h.y","HEC4a.y","HEC4b.y","HEC5.y","HEC5a.y","HEC6.y","HEC6a.y","CEP1.y","CEP2.y","CEP3.y","CEP4.y","CEP5.y","CEP6.y","CEP7.y","CEP8r1.y","CEP8r2.y","CEP8r3.y","CEP8r4.y"
"530","EPOW9WWKDWDVLTV4N3",883,"jczgcyx7pjpp17xx",3,0,818.072731,1,1,0,0,0,0,1,0,0,0,1,61,2,1,0,0,0,0,0,"",3,22,1,1,"",2,7,"",2,1995,NA,3,700,0,NA,30000,0,NA,2,1,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,50,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,NA,NA,2,1,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",0,1,0,0,0,0,0,0,1,70,64,1,78,78,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,2,0,NA,0,NA,0,NA,1,3,0,0,0,0,1,0,3,3,2,2,2,0,NA,NA,NA,"",1,2,2,2,2,2,NA,"",1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,0,3,4,4,3,2,3,3,2,4,3,3,3,3,1,2,0,2,2,2,2,0,0,0,1,2,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"531","EPOW9XT9C4ZGP3S4N8",884,"u7jybe5rrra961rz",3,0,28200.27197,1,3,0,0,2,0,1,0,1,0,1,36,2,1,0,0,0,0,0,"",3,44,3,2,"",1,3,"",2,2015,1,2,1105,0,NA,55000,0,NA,3,1,1,0,0,0,1,1,0,0,0,0,95,NA,NA,0,0,0,0,NA,NA,NA,NA,25,NA,NA,0,0,0,0,NA,NA,NA,NA,1,20,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,2,NA,2,1,2,NA,2,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,0,0,0,0,0,0,0,1,78,78,1,76,77,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,0,1,1,1,0,0,1,1,1,1,1,1,1,2,0,NA,0,NA,0,NA,0,0,0,0,1,0,2,2,2,1,1,0,NA,NA,NA,"",2,2,2,2,2,2,NA,"",1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,0,5,4,4,5,3,2,5,4,3,2,2,2,2,1,0,1,1,3,3,3,0,1,1,0,3,0,2,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
"532","EPOW9XTN4NCZFGD4N6",885,"sqaprbybzewyzw2b",3,0,582.0281808,1,2,0,2,0,0,1,0,0,1,0,28,2,0,0,0,1,0,0,"",3,5,4,2,"",1,3,"",2,2018,4,5,3000,0,NA,NA,1,1,1,1,1,0,0,0,1,1,0,0,0,0,10,NA,NA,0,0,0,0,NA,NA,NA,NA,10,NA,NA,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,3,NA,NA,1,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,1,0,0,0,2,1,2,5,1,0,NA,NA,NA,"",2,2,2,2,2,1,NA,"",2,1,2,1,2,1,2,1,2,2,2,2,2,2,1,1,0,3,3,5,3,3,2,3,2,2,4,3,1,1,1,0,1,2,3,3,2,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"533","EPOW9XTNYVNYS3M4N2",886,"rq6vv6qwg60tyywh",3,0,2201.422274,1,3,2,1,0,1,0,1,0,1,0,41,2,0,1,0,0,0,0,"",2,39,1,1,"",2,2,"",4,2006,NA,3,2500,0,NA,74000,0,NA,3,1,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,15,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,NA,NA,2,1,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,1,74,74,1,68,68,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,2,1,1,1,1,0,NA,NA,NA,"",2,2,2,2,2,2,NA,"",2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,0,2,2,3,4,3,2,2,4,2,3,3,1,1,2,0,0,1,3,3,3,1,0,0,1,3,2,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"534","EPOW9XWRHTXVPCR4N9",887,"zwp647twryn63z3b",3,0,714.283206,1,1,0,0,0,0,1,0,0,0,1,59,2,0,1,0,0,0,0,"",2,14,2,2,"",1,5,"",1,2010,NA,3,NA,1,7,NA,1,2,2,1,1,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,2,NA,NA,1,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",1,0,0,0,0,0,0,0,1,72,72,1,69,69,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,1,1,1,1,1,0,NA,NA,NA,"",1,2,2,2,1,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,4,4,3,4,4,2,2,3,1,1,1,0,0,1,3,3,3,0,0,1,1,2,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"535","EPOW9Y26GRV6FDB4N1",888,"cmg2918g92htw3et",3,0,646.052278,1,4,2,2,0,1,0,1,0,1,0,40,1,1,0,0,0,0,0,"",1,44,3,1,"",2,2,"",3,2008,NA,4,815,0,NA,90000,0,NA,3,1,1,0,0,0,1,1,0,0,0,0,35,NA,NA,0,0,0,0,NA,NA,NA,NA,35,NA,NA,0,0,0,0,NA,NA,NA,NA,1,78,1,2,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,2,NA,2,1,2,NA,2,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,1,68,68,1,74,74,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,1,0,0,0,5,5,5,5,2,0,NA,NA,NA,"",2,2,2,2,2,2,NA,"",2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,3,3,2,3,3,2,3,2,3,4,3,2,2,1,1,1,1,3,3,3,1,0,1,1,3,2,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"536","EPOW9YVWF5YZK944N7",889,"h8hddk4sag4gc7rp",3,0,925.7209854,1,2,0,1,1,0,1,0,1,1,0,31,1,0,1,0,0,0,0,"",1,33,1,2,"",1,7,"",3,1987,NA,2,546,0,NA,NA,1,1,1,1,1,0,0,0,1,1,0,0,0,0,10,NA,NA,0,0,0,0,NA,NA,NA,NA,10,NA,NA,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,2,NA,NA,1,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,0,NA,NA,1,79,67,0,1,2,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,1,5,3,3,5,5,0,NA,NA,NA,"",1,99,1,99,1,1,NA,"",1,1,1,1,1,1,2,1,1,1,99,1,99,99,1,1,0,3,3,4,4,5,2,3,4,3,3,3,3,3,2,0,2,1,3,3,3,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"537","EPOW9ZNVB98JGW94N2",890,"c3g1pkd8ax9v2k88",3,0,666.7169759,1,2,0,0,0,0,1,0,0,0,1,41,2,1,0,0,0,0,0,"",3,10,3,2,"",1,5,"",1,2015,2,2,810,0,NA,110000,0,NA,3,1,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",0,1,0,1,0,0,0,0,1,68,68,1,68,66,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,3,2,2,1,2,0,NA,NA,NA,"",1,2,2,2,2,2,99,"n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,3,3,2,3,3,3,2,3,2,1,1,0,0,1,2,3,3,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"538","EPOW9ZQHCK45DXY4N8",891,"2hcvrxe97t9nf4nf",3,0,670.939687,1,2,0,0,2,0,1,0,1,0,0,55,2,1,0,0,0,0,0,"",3,39,1,2,"",1,6,"",2,2015,1,5,1150,0,NA,25000,0,NA,2,1,1,0,0,0,1,1,0,0,0,0,NA,NA,NA,1,1,0,0,5,5,NA,NA,NA,NA,NA,1,1,0,0,5,5,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,3,NA,NA,1,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,1,75,70,1,75,70,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,1,1,1,1,1,1,0,NA,NA,NA,"",2,2,2,2,2,2,NA,"",2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,2,3,3,3,2,3,3,2,2,3,4,1,3,2,0,2,1,3,3,3,0,1,1,1,2,0,2,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"539","EPOW9ZVGMQ8HRSZ4N0",892,"cudbac4x8dtwxwm8",3,0,1462.14278,1,3,0,1,0,0,1,0,0,1,1,46,2,0,1,0,0,0,0,"",2,39,1,2,"",1,3,"",3,2013,NA,4,1300,0,NA,75000,0,NA,3,1,1,0,0,0,1,1,0,0,0,0,50,NA,NA,0,0,0,0,NA,NA,NA,NA,50,NA,NA,0,0,0,0,NA,NA,NA,NA,1,40,1,2,1,3,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,1,2,0,0,0,0,"",1,2,NA,2,0,2,NA,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,1,70,70,1,70,70,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,1,1,1,1,1,1,0,NA,NA,NA,"",2,2,2,2,1,2,1,"None",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,5,3,2,5,4,3,4,3,2,1,1,0,0,1,2,2,3,0,0,0,0,3,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"540","EPOW9ZXG5RXKKWG4N1",894,"akpzdz4kf76r8m67",3,0,3029.627464,1,2,0,1,1,0,1,0,1,1,0,73,2,0,1,0,0,0,0,"",2,5,4,1,"",2,2,"",4,1975,NA,1,NA,1,2,NA,1,2,2,1,1,0,0,0,1,1,0,0,0,0,NA,NA,NA,1,1,0,0,5,5,NA,NA,NA,NA,NA,1,1,0,0,5,5,NA,NA,1,50,1,2,1,2,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,"",1,2,NA,2,1,2,NA,2,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,1,1,NA,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"",0,0,0,1,0,0,0,1,1,74,74,1,78,78,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,5,5,5,5,5,0,NA,NA,NA,"",1,99,2,1,1,99,NA,"",2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,0,5,4,4,4,2,3,2,2,3,4,5,4,4,2,0,0,1,3,3,3,0,1,1,1,2,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"541","EPOWB2J3XQWFJ7L4N1",895,"wkgqpw61x09sxatf",3,0,1479.842947,1,2,0,0,1,0,1,0,1,0,1,64,1,0,1,0,0,0,0,"",1,1,3,1,"",2,2,"",3,2010,NA,4,1400,0,NA,68000,0,NA,3,1,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,25,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,NA,NA,2,1,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,1,74,74,1,75,75,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,1,0,0,0,2,1,1,2,1,0,NA,NA,NA,"",2,2,2,2,2,2,NA,"",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,5,5,1,5,4,1,2,2,1,1,0,0,0,1,3,3,3,0,1,0,0,3,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"542","EPOWB3W7XBFFZMV4N1",896,"6tztnhh6y4xegwts",3,0,1081.678148,1,2,0,0,1,0,1,0,1,0,1,46,2,1,0,0,0,0,0,"",3,39,1,1,"",2,3,"",3,1977,NA,2,600,0,NA,NA,1,2,2,1,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,30,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,NA,NA,2,1,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",0,1,0,1,0,0,0,0,1,74,74,1,72,72,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,NA,0,NA,0,NA,1,1,0,NA,0,0,0,0,0,1,1,2,1,2,1,0,NA,NA,NA,"",1,2,2,2,1,1,NA,"",2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,1,0,3,3,4,2,2,3,2,2,4,3,4,3,4,1,0,0,1,3,3,3,0,1,0,0,2,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"543","EPOWB48VHP6SCB74N7",898,"ajvxbdvn2wkkja7b",3,0,1480.647982,1,3,0,0,1,0,1,0,1,0,1,77,2,1,0,0,0,0,0,"",3,3,4,1,"",2,2,"",3,2002,NA,4,1400,0,NA,NA,1,6,3,1,1,0,0,0,1,1,0,0,0,0,150,NA,NA,0,0,0,0,NA,NA,NA,NA,25,NA,NA,0,0,0,0,NA,NA,NA,NA,1,150,1,2,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,2,NA,2,1,2,NA,2,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,1,70,70,1,78,78,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,1,0,0,0,1,1,1,1,1,0,NA,NA,NA,"",1,2,2,2,2,2,1,"Multiple Sclerosis",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,1,2,5,4,2,5,4,1,2,2,1,1,1,0,0,1,3,3,3,0,1,1,0,3,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
